Component,Component,Test Case,TC Identifier,Test Type,Estimated Duration (min),Priority,Pass/Fail,LPS Ticket,Tester,Date,Test Name
Gogo Shell,,Test case 2c - OmniAdmin can access Gogo Shell (LPS-101101),2c,Functional,,4,,,,,Gogoshell#OmniAdminCanAccessGogoShellCommandViaPortlet
Gogo Shell,,Test case 23 - Output only displays in UI (LPS-92669),2d,Manual,,3,,,,,
Gogo Shell,,Test case 2e - Gogo shell portlet only on main instance (LPS-88256),2e,Functional,,4,,,,,Gogoshell#GogoShellPortletOnlyOnMainInstance
Gogo Shell,,Test case 2f - Concurrent connections,2f,Manual,,4,,,,,https://issues.liferay.com/browse/LRQA-53803
Gogo Shell,,Test case 2g - Disconnect command is not supported (LPS-83660),2g,Manual,,4,,,,,https://issues.liferay.com/browse/LRQA-53804
Gogo Shell,,Test Group 3 - Cluster,,,,,,,,,
Gogo Shell,,Test case 3a - Gogo Shell session attributes never replicate across cluster (LPS-89651),3a,Manual,,3,,,,,
IPV6,IPV6,,,,,,,,,,
IPV6,,Test Group 1 - IPV6 Configuration,,,,,,,,,
IPV6,,Configure Liferay bundle to run portal on IPV6,1a,Functional,,5,,,,,IPAddress#RunPortalOnIPV6
IPV6,,Create a virtual instance with IPV6,1b,Manual,,4,,,,,https://issues.liferay.com/browse/LRQA-53787
IPV6,,Configure and validate remote live staging with IPV6,1c,Manual,,4,,,,,https://issues.liferay.com/browse/LRQA-53788
Locales,Locales,,,,,,,,,,
Locales,,Test group 1 - Locale configurations for instances,,,,,,,,,
Locales,,Validate default language,1a,Functional,,5,,,,,General functional testing covers
Locales,,Validate default enabled languages,1b,Functional,,5,,,,,LocalizationUsecase#MoveCurrentLanguagesToAvailable
Locales,,Validate default available languages,1c,Functional,,5,,,,,LocalizationUsecase#MoveCurrentLanguagesToAvailable
Locales,,Test group 2 - Locale configurations made by portal properties,,,,,,,,,
Locales,,Restrict available locales,2a,Functional,,4,,,,,Locale#RestrictAvailableLocales
Locales,,Restrict enabled locales,2b,Functional,,4,,,,,Locale#RestrictEnabledLocales
Locales,,Restrict default language,2c,Functional,,5,,,,,Locale#RestrictDefaultLocale
Locales,,Test group 3 - Locale configurations for sites,,,,,,,,,
Locales,,Default enabled locales configuration,3a,Functional,,4,,,,,Locale#ViewDefaultEnabledLocales
Locales,,Test group 4 - Locale configurations for users,,,,,,,,,
Locales,,User preferred languages configuration,4a,Functional,,5,,,,,Locale#ViewUserPreferredLocale
